Product ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;MPN;Ecotax;Width;Height;Depth;Weight;Delivery time of in-stock products;Delivery time of out-of-stock products with allowed orders;Quantity;Minimal quantity;Low stock level;Send me an email when the quantity is under this level;Visibility;Additional shipping cost;Unity;Unit price;Summary;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Image alt texts (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock action;Virtual product;File URL;Number of allowed downloads;Expiration date;Number of days;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse;Acessories  (x,y,z...)
16;1;Гипсокартон Кнауф 2500х1200х12.5 мм огнестойкий;Гипсокартон (ГКЛ);69000;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;;Гипсокартон Кнауф 2500х1200х12.5 мм огнестойкий;Гипсокартон Кнауф 2500х1200х12.5 мм огнестойкий;;;;;;;;;;;1;http://roagtpresta/uploads/750x750-b15d80ce-112a-456e-bcc9-e3e0ec2dd32c.png;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
17;1;Профиль Knauf 60х27 0,6мм 3м (цена за 1м);Профиль для гипсокартона и пластика;13500;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;; Профиль Knauf 60х27 0,6мм 3м (цена за 1м); Профиль Knauf 60х27 0,6мм 3м (цена за 1м);;;;;;;;;;;1;http://roagtpresta/uploads/750x750-4b047d60-32a7-48e3-bb20-0d57cff958fc.jpg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
18;1;Профиль Knauf 50х50 0,6мм 3м (цена за 1м);Профиль для гипсокартона и пластика;17000;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;; Профиль Knauf 50х50 0,6мм 3м (цена за 1м); Профиль Knauf 50х50 0,6мм 3м (цена за 1м);;;;;;;;;;;1;http://roagtpresta/uploads/750x750-4296da8e-74b8-48fa-9b37-90b4a0854908.jpg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
19;1;Профиль Knauf 75х50 0,6мм 3м (цена за 1м);Профиль для гипсокартона и пластика;25000;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;; Профиль Knauf 75х50 0,6мм 3м (цена за 1м); Профиль Knauf 75х50 0,6мм 3м (цена за 1м);;;;;;;;;;;1;http://roagtpresta/uploads/750x750-3445f65e-f696-4af2-8cca-f27bb457ec0f.jpg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
20;1;Профиль М 60х27 3м (цена за 1м);Профиль для гипсокартона и пластика;6400;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;; Профиль М 60х27 3м (цена за 1м); Профиль М 60х27 3м (цена за 1м);;;;;;;;;;;1;http://roagtpresta/uploads/750x750-76a9ae5b-8162-42da-a777-b7eacdadd252.jpeg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
21;1;Профиль-направляющий Knauf 28х27 0,6мм 3м (цена за 1м);Профиль для гипсокартона и пластика;9000;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;; Профиль-направляющий Knauf 28х27 0,6мм 3м (цена за 1м); Профиль-направляющий Knauf 28х27 0,6мм 3м (цена за 1м);;;;;;;;;;;1;http://roagtpresta/uploads/750x750-623b6ae2-16e3-497f-8c39-0dd5d79efe83.jpg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
22;1;Профиль-направляющий Knauf 50х40 0,6мм 3м (цена за 1м);Профиль для гипсокартона и пластика;15000;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;; Профиль-направляющий Knauf 50х40 0,6мм 3м (цена за 1м); Профиль-направляющий Knauf 50х40 0,6мм 3м (цена за 1м);;;;;;;;;;;1;http://roagtpresta/uploads/750x750-4a8a6ade-cd8d-4758-928e-547f9de825df.jpg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
23;1;Профиль-направляющий Knauf 75х40 0,6мм 3м (цена за 1м);Профиль для гипсокартона и пластика;18000;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;; Профиль-направляющий Knauf 75х40 0,6мм 3м (цена за 1м); Профиль-направляющий Knauf 75х40 0,6мм 3м (цена за 1м);;;;;;;;;;;1;http://roagtpresta/uploads/750x750-80c1fe5e-eac5-40ae-b7b0-6eaf7d347dd9.jpg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
24;1;Акриловая грунтовка Megamix Eco 2.5кг;Грунтовки;115000;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;; Акриловая грунтовка Megamix Eco 2.5кг; Акриловая грунтовка Megamix Eco 2.5кг;;;;;;;;;;;1;http://roagtpresta/uploads/750x750-4df6a6b4-5abf-4d12-a873-0bc441f212a9.jpg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
25;1;Анкер клиновый 6х40 Knauf ;Анкера;1000;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;; Анкер клиновый 6х40 Knauf ; Анкер клиновый 6х40 Knauf ;;;;;;;;;;;1;http://roagtpresta/uploads/750x750-03455f28-d6c1-4237-a790-1bc9db7d79f3.jpg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
26;1;Смеситель для кухни FRAP F4042;Для кухни;278676;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;;Смеситель для кухни FRAP F4042;Смеситель для кухни FRAP F4042;;;;;;;;;;;1;http://roagtpresta/uploads/750x750-9c33325a-7227-404f-934b-d9ffc6886d76.jpg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
27;1;Панельный радиатор, стальной, размер 400*2000 мм;Панельные радиаторы;1569734;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;;Панельный радиатор, стальной, размер 400*2000 мм;Панельный радиатор, стальной, размер 400*2000 мм;;;;;;;;;;;1;http://roagtpresta/uploads/750x750-6996eacd-93e2-415a-bff3-bfada7d33b96.jpeg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
28;1;Оргстекло прозрачный;Оргстекло;410000;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;;Оргстекло прозрачный;Оргстекло прозрачный;;;;;;;;;;;1;http://roagtpresta/uploads/750x750-568ec7a8-647a-47aa-8509-f341c48757df.jpg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
29;1;Поликарбонат Лексан Узбекистан йодовый10мм 2,10 х 1м ;Поликарбонат Лексан;410000;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;; Поликарбонат Лексан Узбекистан йодовый10мм 2,10 х 1м ; Поликарбонат Лексан Узбекистан йодовый10мм 2,10 х 1м ;;;;;;;;;;;1;http://roagtpresta/uploads/750x750-fc87485e-fd40-4ee6-85dd-f6213b044bb5.jpg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
30;1;Поликарбонат Лексан Узбекистан зелёный 10мм 2,10 х 1м ;Поликарбонат Лексан;410000;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;; Поликарбонат Лексан Узбекистан зелёный 10мм 2,10 х 1м ; Поликарбонат Лексан Узбекистан зелёный 10мм 2,10 х 1м ;;;;;;;;;;;1;http://roagtpresta/uploads/750x750-ff8f61a7-6416-46c6-a62c-8d5681e01436.jpg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
31;1;Поликарбонат Лексан Узбекистан синий 10мм 2,10 х 1м ;Поликарбонат Лексан;410000;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;; Поликарбонат Лексан Узбекистан синий 10мм 2,10 х 1м ; Поликарбонат Лексан Узбекистан синий 10мм 2,10 х 1м ;;;;;;;;;;;1;http://roagtpresta/uploads/750x750-bca8dc55-618a-4e2a-990b-5f8a2f330e7f.jpg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
32;1;Поликарбонат Лексан Узбекистан прозрачный10мм 2,10 х 1м ;Поликарбонат Лексан;410000;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;; Поликарбонат Лексан Узбекистан прозрачный10мм 2,10 х 1м ; Поликарбонат Лексан Узбекистан прозрачный10мм 2,10 х 1м ;;;;;;;;;;;1;http://roagtpresta/uploads/750x750-1af01112-7ecf-48e2-9789-7118900b3c34.jpg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
33;1;Алюминиевые панели Alumax ;Алюминиевые композитные панели;436796;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;;Алюминиевые панели Alumax ;Алюминиевые панели Alumax ;;;;;;;;;;;1;http://roagtpresta/uploads/default-29e298d98dd1d0744190f12619653717.jpg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
34;1;Шпатель трапеция 100мм;Шпатели;10000;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;; Шпатель трапеция 100мм; Шпатель трапеция 100мм;;;;;;;;;;;1;http://roagtpresta/uploads/750x750-3d93e713-d198-4077-a130-31c493ab8f55.jpg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
35;1;Вентум грунтовка Premium basis 7 005;Грунтовки;110000;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;;Вентум грунтовка Premium basis 7 005;Вентум грунтовка Premium basis 7 005;;;;;;;;;;;1;http://roagtpresta/uploads/750x750-ec761480-0475-43a8-b338-0b8b05a5f7dc.jpeg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
36;1;Классико-17.3 Virgin Magic Fog Facet;Классико;1670000;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;; Классико-17.3 Virgin Magic Fog Facet; Классико-17.3 Virgin Magic Fog Facet;;;;;;;;;;;1;http://roagtpresta/uploads/750x750-2fa1a17a-7a32-4a51-b1fb-0dfcd6522aee.jpg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
37;1;Правило алюминиевая Сибртех 3м;Правила;200000;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;; Правило алюминиевая Сибртех 3м; Правило алюминиевая Сибртех 3м;;;;;;;;;;;1;http://roagtpresta/uploads/750x750-e99c4d77-06f4-4a31-a47d-25574c51c59a.jpg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
38;1;Аквапанель Knauf цементная плита универсальная 1200х900х12,5 мм;Аквапанели;146000;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;;Аквапанель Knauf цементная плита универсальная 1200х900х12,5 мм;Аквапанель Knauf цементная плита универсальная 1200х900х12,5 мм;;;;;;;;;;;1;http://roagtpresta/uploads/750x750-ac1fec01-7e0d-4ce7-a9f5-2b6483a001eb.jpg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
39;1;Негорючая плитка Файерборд Кнауф ;Аквапанели;425000;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;;Негорючая плитка Файерборд Кнауф ;Негорючая плитка Файерборд Кнауф ;;;;;;;;;;;1;http://roagtpresta/uploads/750x750-32a1aff1-1f23-47f7-9470-6877e19950be.jpg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
40;1;Аквапанель кнауф цементная плита наружная 1200х2400х12,5 мм;Аквапанели;640000;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;;Аквапанель кнауф цементная плита наружная 1200х2400х12,5 мм;Аквапанель кнауф цементная плита наружная 1200х2400х12,5 мм;;;;;;;;;;;1;http://roagtpresta/uploads/750x750-9090bda4-f44c-45a4-a1bf-ac9394255cdb.jpg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
41;1;Смеситель для ванны Frud R22301;Для ванны;288067;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;;Смеситель для ванны Frud R22301;Смеситель для ванны Frud R22301;;;;;;;;;;;1;http://roagtpresta/uploads/750x750-a551b5ae-ecc8-4134-ad02-fd62286de534.jpg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
42;1;Растягивающийся шланг 20 м;Хозтовары, Садовый инвентарь;100000;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;;Растягивающийся шланг 20 м;Растягивающийся шланг 20 м;;;;;;;;;;;1;http://roagtpresta/uploads/750x750-58686165-9671-4228-918c-c0ab5bc92914.jpg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
43;1;Шпатель прямоугольный 200мм;Шпатели;19656;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;; Шпатель прямоугольный 200мм; Шпатель прямоугольный 200мм;;;;;;;;;;;1;http://roagtpresta/uploads/750x750-00828799-c0ff-4547-a6f3-eba94bc0c0c0.jpg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
44;1;Акриловая грунтовка Hayat 5кг;Грунтовки;103739;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;; Акриловая грунтовка Hayat 5кг; Акриловая грунтовка Hayat 5кг;;;;;;;;;;;1;http://roagtpresta/uploads/750x750-757ac0bf-c4e5-43c2-b447-38dac5d78551.jpg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
45;1;Кисть плоская  Евро  4  MTX ;Кисти;22000;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;;Кисть плоская  Евро  4  MTX ;Кисть плоская  Евро  4  MTX ;;;;;;;;;;;1;http://roagtpresta/uploads/750x750-98ba4ba1-3c40-4f8c-8f15-25e1c3696984.jpg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
46;1;Краска Акриловая Моющаяся15 кг;Краски;262077;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;; Краска Акриловая Моющаяся15 кг; Краска Акриловая Моющаяся15 кг;;;;;;;;;;;1;http://roagtpresta/uploads/750x750-1f137b7e-ec60-4ef3-9af3-9ca208c30f09.jpg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
47;1;Смеситель для кухни Frap F4903;Для кухни;167293;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;;Смеситель для кухни Frap F4903;Смеситель для кухни Frap F4903;;;;;;;;;;;1;http://roagtpresta/uploads/750x750-c7cebd69-41f3-427e-87bc-0b6dd8eedc21.jpg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
48;1;Расширительный Бак CASELA CSL-TVT50L;Расширительный Бак;589674;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;;Расширительный Бак CASELA CSL-TVT50L;Расширительный Бак CASELA CSL-TVT50L;;;;;;;;;;;1;http://roagtpresta/uploads/750x750-d7b152ce-487b-4198-9f24-760864cdf3a3.jpg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
49;1;Спрей краска Rexon Чёрный;Краски;16000;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;; Спрей краска Rexon Чёрный; Спрей краска Rexon Чёрный;;;;;;;;;;;1;http://roagtpresta/uploads/750x750-59adb494-5c11-4505-be15-a4646f8b3843.jpg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
50;1;Финишная шлифовальная машина TOTAL-TOOLS;Электроинструмент;458635;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;;Финишная шлифовальная машина TOTAL-TOOLS;Финишная шлифовальная машина TOTAL-TOOLS;;;;;;;;;;;1;http://roagtpresta/uploads/750x750-c570fc56-4504-4fbd-b3b1-e89cb41a47df.jpg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
51;1;Краска спрей Rexon Фиолетовый;Краски;16000;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;; Краска спрей Rexon Фиолетовый; Краска спрей Rexon Фиолетовый;;;;;;;;;;;1;http://roagtpresta/uploads/750x750-9bd033ee-58be-4bf3-bed8-468336e0c07d.jpg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
52;1;Краска Акриловая для внутренних работ 25 кг;Краски;305757;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;; Краска Акриловая для внутренних работ 25 кг; Краска Акриловая для внутренних работ 25 кг;;;;;;;;;;;1;http://roagtpresta/uploads/750x750-6e1da553-0e75-4e8e-a017-4f9f6b81dbd0.jpg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
53;1;Краска Акриловая Фасадная 25 кг;Краски;414956;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;; Краска Акриловая Фасадная 25 кг; Краска Акриловая Фасадная 25 кг;;;;;;;;;;;1;http://roagtpresta/uploads/750x750-dbdf2e99-4387-43a6-a879-8d6505a6c726.jpg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
54;1;Саморез 3.5х41 Vero;Саморезы и шурупы;27000;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;; Саморез 3.5х41 Vero; Саморез 3.5х41 Vero;;;;;;;;;;;1;http://roagtpresta/uploads/750x750-f59ea98f-4645-4aab-9821-bffc151f4326.jpg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
55;1;Смеситель для ванны Frud R22131;Для ванны;254543;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;;Смеситель для ванны Frud R22131;Смеситель для ванны Frud R22131;;;;;;;;;;;1;http://roagtpresta/uploads/750x750-46b068e3-d9d9-49cf-afcf-cf0c452a8a3d.jpg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
56;1;Смеситель для ванны Frap F2236;Для ванны;304993;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;;Смеситель для ванны Frap F2236;Смеситель для ванны Frap F2236;;;;;;;;;;;1;http://roagtpresta/uploads/750x750-af0cb4a1-eb06-40ff-8158-ca33c6d3ff89.jpg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
57;1;Смеситель для ванны Frap F2248;Для ванны;432209;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;;Смеситель для ванны Frap F2248;Смеситель для ванны Frap F2248;;;;;;;;;;;1;http://roagtpresta/uploads/750x750-b768f74f-8333-49e3-863d-c70219c7c63f.jpg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
58;1;Перчаткис ПВХ покрытием черные;Спецодежда;3000;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;;Перчаткис ПВХ покрытием черные;Перчаткис ПВХ покрытием черные;;;;;;;;;;;1;http://roagtpresta/uploads/750x750-cef90b60-be6b-4168-8a20-aa721ab5b0cd.jpg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
59;1;Стеклохолст БауТекс 50м2;Стеклоткань;460000;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;;Стеклохолст БауТекс 50м2;Стеклохолст БауТекс 50м2;;;;;;;;;;;1;http://roagtpresta/uploads/750x750-8bdc0f08-4377-4c79-b99b-ab0220b75374.jpg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
60;1;Стеклосетка штукатурная БауТекс;Материалы для штукатурных работ;450000;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;;Стеклосетка штукатурная БауТекс;Стеклосетка штукатурная БауТекс;;;;;;;;;;;1;http://roagtpresta/uploads/750x750-a65b0e38-34fa-45aa-894f-dcaeffdbe4d0.jpg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
61;1;Саморез 3.5х51 Vero;Саморезы и шурупы;27000;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;; Саморез 3.5х51 Vero; Саморез 3.5х51 Vero;;;;;;;;;;;1;http://roagtpresta/uploads/750x750-803ca20e-016f-44b0-b3f9-8c7a43bab23b.jpg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
